,label,tweet
0,0,banyak akun kloning seolah2 pendukung #agussilvy mulai menyerang paslon #aniessandi dengan opini dan argumen pmbenaran..jangan terkecoh
1,0,#agussilvy bicara apa kasihan yaa...lap itu air matanya wkwkwkwk
2,0,kalau aku sih gak nunggu hasil akhir qc tp lagi nunggu motif cuitan pak @sbyudhoyono kayak apa.. pasca #agussilvy nyungsep..
3,0,kasian oh kasian dengan peluru 1milyar untuk tiap rw #agussilvy tidak mempan menangin pilkada #quickcount #pilkadaserentak2017
4,0,maaf ya pendukung #agussilvy..hayo dukung #aniessandi diputaran 2 @ronavioleta @netizentofa
5,0,"aneh deh lebay masa ini di sangkut pautkan sama kandidat calgub, anda lebay seperti yg anda dukung #agussilvy"
6,0,kepada allah swt kami ucapkan rasa syukur dan kepada pak @sbyudhoyono @presidensby #ahy kami sampaikan terimakasih. makna 17% suara anda.
7,0,terima kasih teruntuk pendukung #ahy #sylvi kalianlah pembeda kali ini
8,0,trima kasih atas keistiqomahan relawan #ahy @agusyudhoyono lah yg tlh mengantarkan #aniessandidki1 #jakartagubernurbaru dg cukup signifikan
9,0,mengenang pidato kekalahan #ahy
10,0,"dammnn,!! politik cantik #sby ngorbanin #ahy"
11,0,"batal nyoblos, baru tau ternyata ga ada no.1 di kertas suara. #ahy #kangen #mosing	"
12,0,sudah boleh ngakak? survey mu jauh panggang dari api ! #ahy
13,0,aku juga kemarin #ahy 19april2017 suaraku utk paslon 3 #dki
14,0,karna yang belebihan itu tidak baik ya bah #ahy
15,0,"om aa kemana ? lepas #ahy kalah kok dia tutup mulut tidak koar"" mau bongkar sby"
16,0,kalau pencatutan nama #ahy dan mpo #silvi melanggar hukum ga ya.. wkwkwkwkkwkk
17,0,ya pastilah #fpi kan ga suka ama ahok jd pas #ahy udah kalah otomatis dukungannya lari ke mas #anisa aniessandi
18,0,dia lah banteng.. dia lah garuda!! ksatria seperti bpk @prabowo gentle spt #ahy @agusyudhoyono ..jadi cinta sama #hajidjarot
19,0,"gara2 e-ktp dikorupsi, fotoku yg semula mirip #ahy, pelan tapi pasti skrang malah mirip - stickmoticons”"
20,0,"double lol. @aniesbaswedan nuduh @agusyudhoyono miskin ide, sekarang dia copy #ahy. @sbyudhoyono  "
21,0,kemana nih antasari. .. #ahy kalah di #pilgubdki2017 melempem dia... bener-bener akting yang  
22,0,ingat! tidak bisa modal omongan saja. tapi kerja nyata! #agusharimurtiyudhoyono #ahyâ€¦  
23,0,"#ahy, pakdhe karwo, pilgub jatim, pak dhe karwo isyaratkan agus tidak akan maju di pilgub jatim"
24,0,"paslon salah langkah seperti dilakukan sandi ini, bukan tidak mungkin jadi bumerang gagal dapat suara #ahy. @zarazettirazz @monethamrin"
25,0,"jangan2, relawan inilah yang gembosi #ahy lalu."
26,0,"di manakah #ahy... sang ksatria, samurai, prajurit, pembangun semangat & harapan, pahlawan yg dinanti-nantikan rakyat itu..."
27,0,"kini, ketika #ahy berada di luar arena, tabir kegelapan & tiada harapan kembali menyergap rakyat. kemana lagi rakyat mencari ketulusan?"
28,0,"@adjierimbawan isu lama diangkat lagi, video lama dishare lagi, padahal video sudah disebar buzzer #ahy eh jelang #putaranke2 disebar lagi"
29,0,baru tau bu carik @luviku tidak coblos #ahy kemarin. piss
30,0,awas ye kalo minta dukungan suara pendukung #ahy	
31,0,ini dia pelaku pengirim sms gelap antasari azhar #indonesia #sby #ahy #anies #ahok #berita #jumatberkah #rizieq
32,0,antasari diancam harry tanoe  
33,0,"tuduhan terhadap #ahy yg kerap dilontarkan: anak ingusan dan cuma mayor, sekarang tak terdengar lagi. dudah berubah menjadi sanjungan!?"
34,0,joke terbaik selama pilkada serentak 2017 #bravo @masril_pku @chilli_pari #ahy.
35,0,jangan curiga dulu saldonya bisa di kenti seperti blt orang mau berbuat baik belum apa2 sudah curiga mekanismenya seperti apa #ahy
36,0,ahoker masih bully #ahy
37,0,sayang mayor #ahy termasuk yang dikader untuk pemimpin masa depan dari sma taruna beliau selalu yang teratas lagi2 itu pilihan #pensiundini
38,0,setuju bangett.. banyak yang tidak bersyukur kemrin tidak banjir sekarang malah sibuk mencari pembelaan #jangan_sombong #ahy #banjirjkt
39,0,pakai sedotan atau sodetan versi #ahy
40,0,hellloooo.... suara rakyat.. ngerti suara rakyat? bukan suaranya #ahy or dek @agusyudhoyono.. ngopi dulu gih.. #penikmatkopi
41,0,cari teman kok cara gitu ya.. pdhal #ahy sdh jelas. gubernur baru...@mastbp
42,0,"secara kesatria dan lapang dada ternyata hoax, yang ada hanya kalah ya sudah masih menang banyak ulama bayaran #ahy"
43,0,"agus tersingkir, ahok & anies rebutan suara ahy untuk kepentingan kelompok   lewat @youtube #ahok #anies #ahy #pilgub"
44,0,meskipun #ahy kehilangan kesempatan untuk menduduki gubernur dki 2017-2022
45,0,banyak konstituen #ahy risih sama mulutnya ahok tapi kalau diminta pilih anies dengan gerombolan khilafah dibelakangnya lebih memilih ahok
46,0,cari teman ni yee.1dan3 punya keinginan sama gubernur baru...tunggu dlu hasil resmi kpu baru dengar pernyataan #ahy
47,0,blunder itu ya dulu hina2 #ahy tapi sekarang butuh 17% suara dan harus ngemis minta sama orang yang dulu di hina2. jleb!
48,0,masih mau mencaci maki #ahy dan pepo memo nya?! kalian hrs mengemis minta suara 17% kpd orang2 yang selama ini kalian hina!!!!!!
49,0,golput lebih tinggi daripada pemilih #ahy ya nampaknya. #pilkadadki2017
50,0,kalau merhatiin relawan #ahy saat ini minta rehat itu karena ada hal yang ganjal mungkin harus ada islah dengan relawan #aniessandi dulu.
51,0,"#ahy, pakar mantan, sby, ini surat anas urbaningrum dari jeruji besi, sindiran buat mantan?"
52,0,jangan tanya aku. aku sekeluarga pemilih #ahy. kalau program dp 0% nyata. aku sekeluarga milih #3.  
53,0,"#ahy-sylvi, anies-sandiaga, basuki-djarot, debat pilkada dki 2017, jangan jual mimpi demi jadi gubernur..."
54,0,ahhhh bukannya karena bang aji ada disitu yang bikin kalah #ahy?
55,0,"mungkin saya, dengan rendah hati, bisa meminta pendukung paslon 1 yang masih berat hati, untuk melihat foto ini sejenak #ahy"
56,0,aku bangga jadi anak memo. #ahy #moshing
57,0,pendukung #ahy sulit melupakan bully2 seperti ini
58,0,pantas saja #ahy hancur
59,0,"anggap saja bisa, sebulan kemudian pada dijual (pindah tangan) ke orang2 elit partai gerindra dan pks #pilkadadki #ahy"
60,0,"#ahy, antasari, konferensi pers sby, sby, konferensi pers sby seperti rengekan anak kecil"
61,0,tim yang tidak pernah tidur #ahy
62,0,coba beretika bila ingin dukungan dari konstituen setia #ahy. jangan menipu dengan membuat meme dan berita palsu. rachland nashidik
